,product_name,prices,processor brand,processor name,ram,graphic card,operating system
357,"DELL INSPIRON Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Inspiron 3501 Laptop  (14.96 Inch, Black, With MS Office)","₹40,890",Intel,Core i3,8 GB,Intel Integrated Intel Integrated UHD,Windows 10 Home
358,"ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) F571GT-HN1062T Gaming Laptop  (15.6 inch, Star Black, 2.14 kg)","₹57,940",Intel,Core i5,8 GB,NVIDIA GeForce GTX 1650,Windows 10 Home
359,"APPLE MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/1 TB SSD/Mac OS Catalina) MWP82HN/A  (13 inch, Silver, 1.4 kg)","₹1,79,990",Intel,Core i5,16 GB,Intel Integrated Iris Plus,Mac OS Catalina
360,"DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10/2 GB Graphics) Inspiron 5410 2 in 1 Laptop  (14 inch, Platinum Silver, 1.5 Kg, With MS Office)","₹79,940",Intel,Core i5,8 GB,Intel Integrated MX350,Windows 10
361,"DELL G5 15 SE Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/AMD Radeon RX 5600M/120 Hz) G5 5505 Gaming Laptop  (14.96 Inch, Silver, 2.5 kg)","₹76,140",AMD,Ryzen 5 Hexa Core,8 GB,AMD Radeon RX 5600M,Windows 10 Home
362,"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq4022TU Thin and Light Laptop  (15.6 Inch, Jet Black, 1.69 Kg, With MS Office)","₹55,999",Intel,Core i5,8 GB,Intel Integrated Iris Xe Graphics,Windows 11 Home
363,"ASUS ASUS TUF Dash F15 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) FX516PMZ-HN186WS Gaming Laptop  (15.6 inch, Moonlight White, 2 kg, With MS Office)","₹84,940",Intel,Core i5,16 GB,NVIDIA GeForce RTX 3060,Windows 11 Home
364,"Lenovo IdeaPad 5 Pro Ryzen 7 Hexa Core - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce NVIDIA GeForce GTX 1650 4GB GDDR6) 16ACH6 Gaming Laptop  (16 Inch, Storm Grey, 1.41 kg, With MS Office)","₹79,690",Intel,Ryzen 7 Hexa Core,16 GB,NVIDIA GeForce NVIDIA GeForce GTX 1650 4GB GDDR6,Windows 11 Home
365,"ASUS ZenBook Duo Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/2 GB Graphics) UX481FL-HJ143TS Thin and Light Laptop  (14 inch, Celestial Blue, 1.60 kg, With MS Office)","₹1,24,990",Intel,Core i7,16 GB,NVIDIA GeForce MX250,Windows 10 Home
366,"Lenovo Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) Ideapad 3 15IML05 Laptop  (15.6 inch, Platinum Grey, With MS Office)","₹38,990",Intel,Core i3,8 GB,NA UHD GRAPHIC,Windows 11 Home
367,"ASUS Zenbook 14 Flip Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home) UN5401QA-KN701WS Thin and Light Laptop  (14 Inch, Jade Black, 1.40 Kg, With MS Office)","₹1,12,940",AMD,Ryzen 7 Octa Core,16 GB,AMD Radeon AMD Radeon Graphics,Windows 11 Home
368,"DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10) Vostro 5402 Thin and Light Laptop  (14 Inch, Vintage Gray, 1.4 kg, With MS Office)","₹61,490",Intel,Core i5,8 GB,Intel Integrated UHD,Windows 10
369,"APPLE MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/1 TB SSD/Mac OS Catalina) MWP52HN/A  (13 inch, Space Grey, 1.4 kg)","₹1,79,990",Intel,Core i5,16 GB,Intel Integrated Iris Plus,Mac OS Catalina
370,"Lenovo Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad 3 15ITL6 Laptop  (15.6 inch, Arctic Grey, With MS Office)","₹45,980",Intel,Core i3,8 GB,Intel Integrated,Windows 11 Home
371,"HP HP Envy Ryzen 7 Octa Core 4700U - (16 GB/1 TB SSD/Windows 10 Home) 13-ay0508au Thin and Light Laptop  (13.3 inch, Nightfall Black, 1.32 Kg, With MS Office)","₹92,940",AMD,Ryzen 7 Octa Core,16 GB,AMD Radeon Radeon,Windows 10 Home
372,"DELL Inspiron Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10) Inspiron 3511 Thin and Light Laptop  (15.6 inch, Carbon, 1.85 kg, With MS Office)","₹40,990",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 10
373,"acer Nitro 5 Ryzen 5 Hexa Core 5600H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/144 Hz) AN515-45-R3TC Gaming Laptop  (15.6 inch, Black, 2.4 kg)","₹93,650",AMD,Ryzen 5 Hexa Core,16 GB,NVIDIA GeForce RTX 3060,Windows 10 Home
374,"DELL XPS Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10) XPS 13 9305 Thin and Light Laptop  (13.3 Inch, Platinum Silver, 1.16 KG, With MS Office)","₹1,14,990",Intel,Core i5,16 GB,Intel Integrated Iris Xe,Windows 10
375,"Lenovo Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Laptop  (15.6 inch, Platinum Grey, With MS Office)","₹37,990",Intel,Core i3,8 GB,Intel Integrated,Windows 11 Home
376,"Lenovo Thinkbook Convertible Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) ThinkBook 14s Yoga 2 in 1 Laptop  (14 inch, Mineral Grey, 1.5 kg, With MS Office)","₹64,990",Intel,Core i5,8 GB,Intel Integrated UHD,Windows 10 Home
377,"HP Pavilion Gaming Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 hz) 15-DK2100TX Gaming Laptop  (15.6 inches, Shadow Black & Ultra Violet, 2.28 kg, With MS Office)","₹71,940",Intel,Core i5,8 GB,NVIDIA GeForce GTX 1650,Windows 10 Home
378,"Lenovo Ideapad Slim APU Dual Core A4 A4-9120E - (4 GB/64 GB EMMC Storage/Windows 10 Home) 1-14AST-05 Thin and Light Laptop  (14 inch, Platinum Grey, 1.4 kg)","₹19,590",AMD,APU Dual Core A4,4 GB,AMD Radeon R3,Windows 10 Home
379,"DELL Inspiron Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10) Inspiron 5515 Thin and Light Laptop  (15.6 Inch, Silver, 1.64 KG, With MS Office)","₹60,990",AMD,Ryzen 5 Hexa Core,8 GB,AMD Radeon Vega,Windows 10
380,"ASUS VivoBook K15 OLED (2021) Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home) K513EA-L523WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹65,990",Intel,Core i5,16 GB,Intel Integrated Iris Xe,Windows 11 Home
381,"ASUS VivoBook Ultra 14 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB323TS Thin and Light Laptop  (14 inch, Dreamy White, 1.40 kg, With MS Office)","₹44,990",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 10 Home
382,"MSI Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B11MOU-862IN Thin and Light Laptop  (14 inch, Carbon Gray, 1.3 kg)","₹44,990",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 10 Home
383,"ASUS VivoBook 15 (2021) Core i7 10th Gen - (16 GB/512 GB SSD/Windows 11 Home) X515JA-EJ701WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹57,990",Intel,Core i7,16 GB,Intel Integrated Iris Plus,Windows 11 Home
384,"HP Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX Nvidia) Victus 16-e0075AX Gaming Laptop  (16.1 inch, Black, With MS Office)","₹68,050",AMD,Ryzen 5 Hexa Core,8 GB,NVIDIA GeForce GTX Nvidia,Windows 10 Home
385,"MSI Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B11MOU-862IN Thin and Light Laptop  (14 inch, Carbon Gray, 1.3 kg)","₹44,990",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 10 Home
386,"HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq4022TU Thin and Light Laptop  (15.6 Inch, Jet Black, 1.69 Kg, With MS Office)","₹55,999",Intel,Core i5,8 GB,Intel Integrated Iris Xe Graphics,Windows 11 Home
387,"ASUS Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X515EP-EJ512TS Thin and Light Laptop  (15.6 inch, Silver, With MS Office)","₹58,990",Intel,Core i5,8 GB,NVIDIA GeForce MX330,Windows 10 Home
388,"APPLE MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/1 TB SSD/Mac OS Catalina) MWP52HN/A  (13 inch, Space Grey, 1.4 kg)","₹1,79,990",Intel,Core i5,16 GB,Intel Integrated Iris Plus,Mac OS Catalina
389,"APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A  (13.3 inch, Gold, 1.29 kg)","₹90,990",Apple,M1,8 GB,NA,Mac OS Big Sur
390,"DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10) Vostro 3401 Thin and Light Laptop  (14 Inch, Dune, 1.58 KG, With MS Office)","₹41,990",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 10
391,"DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10) Vostro 5402 Thin and Light Laptop  (14 Inch, Vintage Gray, 1.4 kg, With MS Office)","₹61,490",Intel,Core i5,8 GB,Intel Integrated UHD,Windows 10
392,"acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) A515-56 Notebook  (15.6 Inch, Pure Silver, 1.65 Kg, With MS Office)","₹49,940",Intel,Core i5,8 GB,Intel Integrated Iris Xe Graphics,Windows 11 Home
393,"Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop  (14 inch, Aurora Green, 1.48 kg)","₹34,990",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home
